;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;Добыча полезных ископаемых;Обрабатывающие производства;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;Строительство;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Транспортировка и хранение;Деятельность гостиниц и предприятий общественного питания;Деятельность в области информации и связи;Деятельность финансовая и страховая;Деятельность по операциям с недвижимым имуществом;Деятельность профессиональная, научная и техническая;Деятельность административная и сопутствующие дополнительные услуги;Государственное управление и обеспечение военной безопасности, социальное обеспечение;Образование;Деятельность в области здравоохранения и социальных услуг;Деятельность в области культуры, спорта, организации досуга и развлечений;Предоставление прочих видов услуг;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления;Деятельность в области информации и связи;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;Предоставление прочих коммунальных, социальных и персональных услуг;Гостиницы и рестораны;Транспорт и связь
Тульская область;7.4;0.5;38.4;3.5;0.5;6.3;9;4.5;0.8;2.3;0.3;10.4;2.2;1.4;4.2;2.8;4.1;0.9;0.5;0;2.2;0.9;0;0.8;4.5
Ярославская область;3.3;0.2;27.4;2.9;0.8;5;14.9;11.6;1.2;2.4;0.2;11.1;2.2;2.3;4.8;3.3;4.7;1.2;0.5;0;2.2;1.2;0;1.2;11.6
г. Москва;0.1;0;15.7;2.7;0.4;4;26.1;6.7;0.8;6.6;1.3;11.7;8.5;3.2;5.1;2.1;3;1.3;0.7;0;8.5;1.3;0;0.8;6.7
Республика Карелия;5.4;18.8;18.4;2.6;0.7;3.4;6;9.4;0.9;1.6;0.2;8.2;2;1.7;9.5;3.9;6.2;0.8;0.3;0;2;0.8;0;0.9;9.4
Республика Коми;1.5;43.8;9.2;2.3;0.5;4;4.3;6.6;0.6;1.1;0.1;5.3;1.6;4.9;6.1;3;4.2;0.6;0.3;0;1.6;0.6;0;0.6;6.6
Архангельская область;3.5;32.3;15.5;1.9;0.4;4.9;6;9.4;1;0.9;0.2;6.9;0.8;0.9;7.3;2.7;4.5;0.6;0.3;0;0.8;0.6;0;1;9.4
Ненецкий автономный округ;0.3;79.2;0.2;0.8;0;5.8;0.7;5.9;0.3;0.2;0;0.7;0.2;0.4;3.4;0.6;1;0.2;0.1;0;0.2;0.2;0;0.3;5.9
Вологодская область;3.9;0;38.4;2.3;0.9;6.3;11.2;10.8;0.6;1.7;0.2;7.5;2;1.3;5.3;2.3;4;0.9;0.4;0;2;0.9;0;0.6;10.8
Калининградская область;6.2;2.8;20.7;4.4;0.8;5.5;10.3;9.4;1;2.5;0.3;15.5;2.9;2.4;6.6;3;4.1;1;0.6;0;2.9;1;0;1;9.4
Ленинградская область;4.4;0.6;28.9;6.7;0.7;9.1;9.7;13.6;0.8;0.7;0.1;9.2;2.5;1.7;4.2;2.1;3.6;1;0.4;0;2.5;1;0;0.8;13.6
Мурманская область;12.4;10.3;17.9;3.3;0.6;7.1;7.4;8.4;1.5;1.1;0.1;4.9;2.9;1.5;10.3;3.1;5.7;1;0.5;0;2.9;1;0;1.5;8.4
Новгородская область;7.4;0.2;33.9;3.6;0.9;5.7;12.7;6.7;1.2;1.4;0.2;8.2;1.6;0.7;5.9;3.1;4.9;1.3;0.4;0;1.6;1.3;0;1.2;6.7
Псковская область;11.7;0.4;15.6;3.2;1.4;5.8;13.6;8.4;1.6;2.8;0.3;10.4;1.2;1.4;10.2;3.8;6.1;1.2;0.9;0;1.2;1.2;0;1.6;8.4
г. Санкт-Петербург;0.1;0.3;13.9;2.1;0.9;3.1;15.3;10.4;1.3;5.8;0.5;17.8;7.8;3.8;5.2;3.7;5.8;1.5;0.7;0;7.8;1.5;0;1.3;10.4
Республика Адыгея;11.7;1.4;13.1;1.3;0.6;7;13.9;3.9;1.7;1.8;0.1;18.3;2.3;2.7;7.9;5;5.9;1.2;0.2;0;2.3;1.2;0;1.7;3.9
Республика Калмыкия;22.6;1.3;0.8;0.9;0.3;6.9;5.2;24.1;0.3;1.9;0.1;6;0.7;1.5;15.7;5.1;5.4;1;0.2;0;0.7;1;0;0.3;24.1
Республика Крым;6.1;3.1;8.4;4;1.3;9.7;15;4;3;2.1;0.2;14.8;2;1.7;9.3;4;8.2;1.6;1.5;0;2;1.6;0;3;4
Краснодарский край;8.8;0.5;11.6;2.1;0.7;6.3;14.6;14.5;2.9;2.5;0.2;12.5;3;2.6;5.7;3.5;5.5;1.8;0.7;0;3;1.8;0;2.9;14.5
Астраханская область;5.3;47.9;4.3;2.3;0.3;4.2;6.1;7;0.9;1;0.1;5.3;1;1.6;6.3;2.3;3.4;0.4;0.3;0;1;0.4;0;0.9;7
Волгоградская область;11.5;5.2;24.5;2.2;0.9;5.1;12;5.2;0.7;2.3;0.2;9.5;2.4;1.6;7.4;3.5;4.5;0.7;0.6;0;2.4;0.7;0;0.7;5.2
Ростовская область;10.7;1.2;17.7;4.3;0.7;6.4;16;7.2;1.3;2.1;0.2;12.6;2.4;1.7;5.9;3.5;4.8;0.8;0.5;0;2.4;0.8;0;1.3;7.2
г. Севастополь;2.9;0.8;5.5;5.2;1;6.1;12;2.1;2.4;2.1;0;26.3;3.1;2.3;16.6;2.6;5.1;2.2;1.7;0;3.1;2.2;0;2.4;2.1
Республика Дагестан;16.7;0.5;4.7;1.3;0.1;15.5;20.3;5.3;5.1;1.6;0;7.8;0.4;0.9;6.5;5.8;5.7;1;0.8;0;0.4;1;0;5.1;5.3
Республика Ингушетия;10.5;1.4;2.8;1.6;0.8;11.9;10.1;2;0.3;2.4;0;8;0.4;0.6;25.5;10;8;3.5;0.2;0;0.4;3.5;0;0.3;2
Кабардино-Балкарская Республика;17.3;0.1;8.3;2.7;0.4;10.8;15.2;2.8;1.7;2.1;0.1;8.8;1.4;1.1;12.1;7;6.7;1.1;0.3;0;1.4;1.1;0;1.7;2.8
Карачаево-Черкесская Республика;18;1.5;10.2;6.4;0.6;7;8.8;2.1;0.8;1.7;0;8.4;1.7;1.6;14.8;7.1;6.9;1.8;0.6;0;1.7;1.8;0;0.8;2.1
Республика Северная Осетия – Алания;13.5;0.3;4.9;0.8;0.9;6.9;14.8;4.2;1.4;2.6;0;16.8;0.8;0.9;15.7;6.2;6.9;1.6;0.8;0;0.8;1.6;0;1.4;4.2
Чеченская Республика;10.2;1;2;2.5;0.3;11.7;12.5;3.4;2.9;1.7;0;10.8;0.7;0.5;18.9;10.7;8.4;1.5;0.3;0;0.7;1.5;0;2.9;3.4
Ставропольский край;12.5;0.5;11.4;4;0.8;7.3;14.8;6.9;2.3;2.2;0.2;11;1.8;1.1;9.6;4;8.3;0.7;0.6;0;1.8;0.7;0;2.3;6.9
Республика Башкортостан;5.3;3.4;31.4;2.5;0.6;6.6;12.7;6.3;1;2.3;0.2;8.9;3.6;2.1;4.1;3.7;4.4;0.5;0.4;0;3.6;0.5;0;1;6.3
Республика Марий Эл;18.1;0.1;26.2;2.7;1.3;3.5;9.2;4.8;1.3;2.8;0.2;9.6;1.6;1.3;6.9;4.1;4.7;1.2;0.4;0;1.6;1.2;0;1.3;4.8
Республика Мордовия;14.6;0;24.2;3.3;0.5;6.8;9.7;5.4;1.1;2.4;0.2;10.2;2;1.7;7.9;3.8;4.8;1;0.4;0;2;1;0;1.1;5.4
Республика Татарстан;5.5;28.7;14.3;1.9;0.4;7.3;10.4;5.8;0.9;2.1;0.3;8;3.1;1.5;3.4;2.6;2.3;1;0.5;0;3.1;1;0;0.9;5.8
Удмуртская Республика;5.8;27.5;18.2;2.3;0.4;4.6;8.1;4.7;0.8;1.4;0.2;8.7;2.3;1.3;4.5;3.2;4.6;0.8;0.6;0;2.3;0.8;0;0.8;4.7
Чувашская Республика;8.2;0.1;25.9;3.5;0.7;5.8;12.5;5;1.4;2.7;0.4;12.5;2.8;0.9;6.3;4.3;5.5;0.9;0.6;0;2.8;0.9;0;1.4;5
Пермский край;1.7;22.6;28.8;2.4;0.7;4.2;9.3;4.6;0.7;2.4;0.2;7.4;2.6;1.4;4.2;2.6;3.4;0.5;0.3;0;2.6;0.5;0;0.7;4.6
Кировская область;6.9;0.4;26.5;3.4;0.9;4;11.8;6.2;1.3;2.1;0.3;11.1;2.1;2;8.2;4.4;6.6;1.1;0.7;0;2.1;1.1;0;1.3;6.2
Нижегородская область;2.8;0.1;28.7;3.1;0.7;4.4;16.5;6.4;0.9;3.5;0.2;11.4;5.5;2.5;4.6;3.1;4.1;1;0.5;0;5.5;1;0;0.9;6.4
Оренбургская область;6.7;40.9;11.5;2.9;0.7;5.9;6.2;4.5;0.8;1.1;0.2;5.4;1.2;1;4.1;2.6;3.5;0.5;0.3;0;1.2;0.5;0;0.8;4.5
Пензенская область;15.1;0.2;17;2;0.5;6.5;14.5;6.6;1.2;2.4;0.2;12.2;3.1;1.7;5.7;3.7;5.9;1;0.5;0;3.1;1;0;1.2;6.6
Самарская область;3.7;18.8;20;2.9;1.2;4.5;10;6.8;0.9;2;0.3;11.1;4.1;2.4;4.1;2.8;3.4;0.6;0.4;0;4.1;0.6;0;0.9;6.8
Саратовская область;10.5;3.2;18.6;7.7;1;6.6;9.1;7.4;1.1;2.2;0.2;9.9;2.5;1.9;6.9;3.8;6.1;0.8;0.5;0;2.5;0.8;0;1.1;7.4
Ульяновская область;5.3;2.2;25.4;2.5;1;5.5;11.3;5.8;0.8;2.7;0.2;11;2.7;1.9;10.1;4.4;5.5;1.1;0.6;0;2.7;1.1;0;0.8;5.8
Курганская область;10.7;1;21.1;4.4;0.9;5.1;9;9.3;0.8;2.8;0.2;8.1;1.5;1.4;9.6;5;7.5;1.2;0.4;0;1.5;1.2;0;0.8;9.3
Свердловская область;2.4;2.1;31.9;3.9;1.1;4;12.7;7.5;1;2.4;0.2;10.4;4.2;2;5.7;3.1;4.1;0.7;0.6;0;4.2;0.7;0;1;7.5
Тюменская область;0.6;64.5;4.6;1.9;0.2;6.6;3.2;5.1;0.4;0.6;0.1;3;2.1;1.8;1.9;1.3;1.7;0.3;0.1;0;2.1;0.3;0;0.4;5.1
Ханты-Мансийский автономный округ – Югра;0.2;72.1;1.7;2.2;0.2;5.3;2.2;4.6;0.4;0.5;0.1;3.1;0.9;1.5;1.6;1.3;1.7;0.3;0.1;0;0.9;0.3;0;0.4;4.6
Ямало-Ненецкий автономный округ;0.1;71.3;4.8;1.2;0.1;8.6;1.7;4.1;0.3;0.4;0.1;0.9;0.8;2;1.4;0.8;1.2;0.2;0;0;0.8;0.2;0;0.3;4.1
Тюменская область;3.3;18.1;14.6;2.7;0.4;6.9;10.6;9.6;1.2;1.6;0.3;8.2;9.6;2.1;4.1;2.9;2.9;0.6;0.3;0;9.6;0.6;0;1.2;9.6
Челябинская область;5;2.5;32.1;3.5;1;5.7;10.6;6.8;0.7;2.2;0.2;9.7;3.7;1.8;4.8;3.4;5.1;0.7;0.5;0;3.7;0.7;0;0.7;6.8
Республика Алтай;10.2;0.8;2.9;3.3;0.6;9;14.8;5;1.8;2.2;0.7;10.1;1.3;1;17;9.9;7.4;1.7;0.3;0;1.3;1.7;0;1.8;5
Республика Тыва;5;19.9;0.7;2.2;0.2;6;7;1.7;0.7;2.1;0.2;8.4;1;0.8;18.2;11.8;12;1.9;0.2;0;1;1.9;0;0.7;1.7
Республика Хакасия;2.7;14.6;18.8;11.8;0.5;4.2;11.5;6.4;1;1.7;0.1;7;1.3;1.4;7.7;3.5;4.9;0.7;0.2;0;1.3;0.7;0;1;6.4
Алтайский край;12.7;0.5;17.8;2.3;0.6;5.3;14.6;5;0.9;3;0.3;13;2.1;2.8;7.1;4.6;5.9;0.8;0.7;0;2.1;0.8;0;0.9;5
Красноярский край;2.4;22.4;36.3;3.3;0.4;3.3;5.3;5.2;0.6;1;0.1;5.7;1.9;1.5;3.9;2.4;3.2;0.7;0.4;0;1.9;0.7;0;0.6;5.2
Иркутская область;4.4;29.3;9.9;4.4;0.5;6.5;8.2;8.7;0.6;1.3;0.1;6.5;2.1;2.3;6.3;3.3;4.6;0.5;0.5;0;2.1;0.5;0;0.6;8.7
Кемеровская область;2.2;26.3;14;4.5;0.8;5.4;10;7.1;0.9;1.4;0.2;7.6;2.1;2;5.5;3.6;5.4;0.6;0.4;0;2.1;0.6;0;0.9;7.1
Новосибирская область;3.8;3.1;12.9;2.4;0.6;3.9;14.9;15.3;1.1;3.9;0.2;12.5;4.8;5.8;5.1;3.9;4.5;0.8;0.5;0;4.8;0.8;0;1.1;15.3
Омская область;8;0.3;33.2;2;0.6;4.5;10.2;6.6;1;2;0.2;10.3;3.2;1.6;6;4.1;4.9;0.7;0.6;0;3.2;0.7;0;1;6.6
Томская область;3.2;27.5;10.1;2.3;0.6;4.8;8;8.3;0.9;1.9;0.2;9.7;4.4;2.2;6.6;3.9;4.3;0.8;0.3;0;4.4;0.8;0;0.9;8.3
Республика Бурятия;4.7;5.1;9.4;3.6;0.5;7.1;10.5;9.9;2;2.1;0.2;9.1;1.5;8.8;10.9;6.3;6.3;1.2;0.8;0;1.5;1.2;0;2;9.9
Республика Саха (Якутия);1.4;50.6;1.1;3.3;0.3;9.6;5.8;6.2;1;1.1;0.1;3.6;0.9;1;4.7;4;4;1.1;0.2;0;0.9;1.1;0;1;6.2
Забайкальский край;4.6;18.1;3;4;0.5;4.6;8.2;18;1.3;2.4;0.2;6.7;1.8;1.6;10.5;6.3;6.8;1;0.4;0;1.8;1;0;1.3;18
Камчатский край;27.3;4.8;6.2;3.6;0.5;3.6;6.6;4.9;1.1;1.2;0.1;5.2;1.8;3.8;16.4;4.4;6.4;1.8;0.3;0;1.8;1.8;0;1.1;4.9
Приморский край;7.3;1;9.2;2.2;0.7;4.4;15.9;18.3;1.4;2;0.1;11.3;2.5;1.9;12.3;3.2;4.7;1.1;0.5;0;2.5;1.1;0;1.4;18.3
Хабаровский край;5.8;6;9.4;2.7;0.7;5.6;15;17.3;1.2;2.4;0.2;8.7;1.7;2.3;9.9;4.2;5.2;0.9;0.8;0;1.7;0.9;0;1.2;17.3
Амурская область;4.1;11.2;3.3;4.6;0.4;15.7;9.9;11.4;0.7;1.4;0.2;9.3;6.4;3.7;7.3;4.1;5.2;0.7;0.4;0;6.4;0.7;0;0.7;11.4
Магаданская область;5.5;45.2;1;5.6;0.3;3.5;7.1;5.1;0.8;1;0.1;2.3;1.8;1.4;9.1;3.2;5.5;1.3;0.2;0;1.8;1.3;0;0.8;5.1
Сахалинская область;3.3;64.2;2.4;1.2;0.3;5.5;3.7;3.4;0.5;0.3;0;2.7;1.2;1.7;3.8;1.9;3.1;0.6;0.2;0;1.2;0.6;0;0.5;3.4
Еврейская автономная область;3.3;11.4;3.4;3.4;0.5;8.9;7.6;17.5;0.8;1.6;0.1;6.9;1.2;0.8;16.2;5;9.2;1.4;0.8;0;1.2;1.4;0;0.8;17.5
Чукотский автономный округ;3.4;39.6;0.3;11.4;0.8;7.9;5.9;3.9;0.5;0.6;0.1;1.1;0.2;1.3;12.8;4.2;4.9;0.8;0.3;0;0.2;0.8;0;0.5;3.9
