;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;Добыча полезных ископаемых;Обрабатывающие производства;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;Строительство;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Транспортировка и хранение;Деятельность гостиниц и предприятий общественного питания;Деятельность в области информации и связи;Деятельность финансовая и страховая;Деятельность по операциям с недвижимым имуществом;Деятельность профессиональная, научная и техническая;Деятельность административная и сопутствующие дополнительные услуги;Государственное управление и обеспечение военной безопасности, социальное обеспечение;Образование;Деятельность в области здравоохранения и социальных услуг;Деятельность в области культуры, спорта, организации досуга и развлечений;Предоставление прочих видов услуг;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления;Предоставление прочих коммунальных, социальных и персональных услуг;Гостиницы и рестораны;Транспорт и связь
Псковская область;770;49;1 090;75;60;1 252;2 869;890;344;275;97;884;701;368;489;477;237;254;867;254;75;0;1.6;890
г. Санкт-Петербург;846;303;19 580;720;853;31 640;70 277;15 492;7 756;9 682;3 994;20 508;24 892;12 167;1 233;3 950;4 698;4 286;7 306;4 286;720;0;1.3;15 492
Республика Адыгея;378;78;600;42;58;639;1 212;247;167;127;109;398;397;280;349;401;222;176;447;176;42;0;1.7;247
Республика Калмыкия;266;14;116;14;39;314;589;95;82;64;52;130;223;104;497;373;186;109;409;109;14;0;0.3;95
Республика Крым;1 382;250;1 771;132;268;3 111;5 687;1 113;1 887;631;308;4 718;2 044;1 008;1 058;1 372;1 091;658;2 879;658;132;0;3;1 113
Краснодарский край;3 703;402;7 433;604;792;13 815;28 209;6 481;4 665;2 569;1 501;8 829;9 317;4 363;3 061;4 338;3 410;2 648;5 134;2 648;604;0;2.9;6 481
Астраханская область;976;51;867;81;125;1 271;2 905;745;450;298;220;1 298;930;509;613;642;426;271;917;271;81;0;0.9;745
Волгоградская область;1 351;85;2 400;230;626;3 186;7 872;1 734;847;809;551;3 135;2 903;1 553;1 779;1 901;984;1 025;2 537;1 025;230;0;0.7;1 734
Ростовская область;2 526;307;6 003;376;465;7 360;21 701;4 493;1 838;1 943;1 161;6 736;5 771;2 228;2 489;3 419;1 814;1 349;3 589;1 349;376;0;1.3;4 493
г. Севастополь;194;16;718;34;73;1 349;2 134;388;545;267;136;1 988;852;416;130;275;349;254;869;254;34;0;2.4;388
Республика Дагестан;3 301;222;1 623;183;195;4 195;4 910;921;444;680;414;1 076;1 303;717;1 999;3 214;1 110;1 021;2 284;1 021;183;0;5.1;921
Республика Ингушетия;200;29;510;18;54;1 142;1 300;113;39;110;87;89;204;161;232;345;194;162;267;162;18;0;0.3;113
Кабардино-Балкарская Республика;979;62;948;63;139;950;2 075;296;256;188;154;552;524;256;481;526;394;287;885;287;63;0;1.7;296
Карачаево-Черкесская Республика;448;76;495;43;66;620;1 095;200;163;106;85;282;318;182;389;479;200;102;658;102;43;0;0.8;200
Республика Северная Осетия – Алания;751;73;780;93;79;894;1 651;299;188;218;164;601;497;287;459;601;402;264;712;264;93;0;1.4;299
Чеченская Республика;907;40;389;30;47;1 556;2 043;229;86;205;188;235;421;210;614;1 301;356;246;410;246;30;0;2.9;229
Ставропольский край;1 917;124;2 678;239;229;3 575;9 186;1 396;921;819;519;3 188;2 753;1 244;1 594;2 286;1 533;897;2 275;897;239;0;2.3;1 396
Республика Башкортостан;2 480;568;6 007;378;536;11 664;19 485;3 396;1 672;1 612;1 097;4 891;5 808;2 779;2 892;3 781;1 942;1 273;4 847;1 273;378;0;1;3 396
Республика Марий Эл;368;36;1 381;124;108;1 009;2 663;505;329;308;155;895;626;294;470;698;297;234;648;234;124;0;1.3;505
Республика Мордовия;489;23;759;89;75;1 140;2 337;464;190;254;215;1 390;818;321;903;772;807;878;1 234;878;89;0;1.1;464
Республика Татарстан;1 901;505;8 926;414;642;15 061;28 265;5 764;2 094;3 157;1 911;7 266;8 584;4 169;3 411;4 657;2 410;2 006;5 224;2 006;414;0;0.9;5 764
Удмуртская Республика;754;194;3 239;228;189;3 979;9 220;1 655;699;848;433;2 609;2 680;1 212;1 113;1 688;649;614;1 810;614;228;0;0.8;1 655
Чувашская Республика;578;35;2 075;156;115;2 409;4 808;972;575;484;296;1 830;1 504;565;1 031;1 007;479;383;1 221;383;156;0;1.4;972
Пермский край;1 402;258;4 477;443;477;6 954;14 206;3 651;1 331;1 626;875;7 017;4 581;2 124;1 465;1 566;1 257;1 279;2 869;1 279;443;0;0.7;3 651
Кировская область;1 295;83;2 826;328;216;2 415;6 646;2 455;699;511;410;2 929;1 543;836;1 276;1 389;529;780;1 397;780;328;0;1.3;2 455
Нижегородская область;1 686;121;7 136;556;522;8 715;22 859;4 276;1 720;1 954;1 038;7 014;6 209;3 159;1 574;2 938;2 004;411;3 504;411;556;0;0.9;4 276
Оренбургская область;2 274;343;1 921;272;332;3 123;6 103;2 075;492;634;400;2 319;2 059;1 012;1 291;2 129;1 238;1 451;2 004;1 451;272;0;0.8;2 075
Пензенская область;793;54;2 177;154;337;2 103;4 997;1 323;437;550;310;2 104;1 409;570;1 079;1 258;577;948;1 620;948;154;0;1.2;1 323
Самарская область;1 548;325;6 992;403;537;11 465;27 346;6 564;1 921;2 036;1 237;7 830;6 590;3 863;1 537;2 167;1 718;484;3 854;484;403;0;0.9;6 564
Саратовская область;1 358;225;3 041;364;403;3 693;9 146;2 900;861;892;660;5 665;3 077;1 245;1 514;2 370;910;0;2 191;0;364;0;1.1;2 900
Ульяновская область;682;64;2 377;200;223;2 350;5 559;1 542;505;648;276;2 195;1 699;755;819;1 104;624;0;1 675;0;200;0;0.8;1 542
Курганская область;659;33;904;189;109;1 092;2 310;589;193;258;174;1 453;698;325;853;906;616;392;736;392;189;0;0.8;589
Свердловская область;2 152;514;10 281;693;771;12 923;35 516;7 625;2 546;3 238;1 646;11 440;9 972;4 738;2 075;3 962;2 242;2 171;4 620;2 171;693;0;1;7 625
Тюменская область;2 010;938;4 518;551;520;11 680;17 273;6 324;2 201;2 023;933;5 804;6 640;3 110;2 021;2 908;2 202;1 665;4 446;1 665;551;0;0.4;6 324
Ханты-Мансийский автономный округ – Югра;932;502;1 452;267;256;4 324;6 537;3 101;867;800;375;2 131;2 379;1 301;761;1 249;1 038;718;1 927;718;267;0;0.4;3 101
Ямало-Ненецкий автономный округ;176;162;309;107;74;1 294;1 398;990;271;200;100;607;516;309;519;485;266;233;711;233;107;0;0.3;990
Тюменская область;902;274;2 757;177;190;6 062;9 338;2 233;1 063;1 023;458;3 066;3 745;1 500;741;1 174;898;714;1 808;714;177;0;1.2;2 233
Челябинская область;1 221;397;7 670;541;531;8 268;23 481;4 634;1 355;1 784;1 070;5 480;5 451;2 777;1 627;3 172;1 807;1 532;2 921;1 532;541;0;0.7;4 634
Республика Алтай;381;47;315;58;34;436;849;164;178;94;103;342;290;261;326;296;141;136;456;136;58;0;1.8;164
Республика Тыва;278;19;103;29;26;263;371;121;58;87;69;171;166;108;484;418;180;218;355;218;29;0;0.7;121
Республика Хакасия;257;143;609;95;75;814;1 582;308;164;245;204;552;524;244;416;557;232;274;655;274;95;0;1;308
Алтайский край;1 759;113;4 308;376;347;4 492;13 519;3 256;816;867;613;3 339;2 575;1 383;2 311;1 667;853;666;2 417;666;376;0;0.9;3 256
Красноярский край;2 082;495;4 324;448;333;7 040;16 128;4 080;1 194;1 575;733;5 391;4 846;2 338;1 814;2 645;1 932;1 439;2 965;1 439;448;0;0.6;4 080
Иркутская область;3 352;484;3 205;403;341;5 526;12 892;3 694;1 237;1 232;959;4 129;3 852;1 890;1 885;2 769;1 241;1 382;2 733;1 382;403;0;0.6;3 694
Кемеровская область;827;428;2 921;356;332;3 432;8 975;2 255;869;880;666;3 464;2 967;1 603;1 025;2 276;1 178;1 014;1 918;1 014;356;0;0.9;2 255
Новосибирская область;1 593;155;7 857;568;453;10 475;29 902;6 641;1 883;2 611;1 475;9 687;7 877;3 738;1 253;2 529;1 921;1 712;3 740;1 712;568;0;1.1;6 641
Омская область;828;35;2 737;244;255;4 653;9 392;2 494;621;911;446;3 440;3 026;1 374;1 164;1 777;955;589;2 252;589;244;0;1;2 494
Томская область;642;136;2 129;203;166;2 673;6 461;1 953;566;909;351;2 572;2 445;850;590;906;726;522;1 402;522;203;0;0.9;1 953
Республика Бурятия;867;410;1 064;245;98;2 031;3 580;898;564;429;316;1 395;3 189;634;1 117;1 260;477;402;1 325;402;245;0;2;898
Республика Саха (Якутия);1 493;713;993;261;170;3 191;2 785;1 515;406;625;504;1 880;1 599;593;1 389;1 603;628;926;1 641;926;261;0;1;1 515
Забайкальский край;744;475;579;169;80;1 232;2 369;806;278;254;239;882;713;389;1 109;1 326;346;388;773;388;169;0;1.3;806
Камчатский край;904;58;472;73;79;995;1 676;729;286;213;151;984;580;466;431;357;221;293;546;293;73;0;1.1;729
Приморский край;2 015;250;2 774;162;315;5 063;16 007;6 573;1 417;1 001;628;4 513;3 944;1 798;990;1 732;1 181;1 270;2 361;1 270;162;0;1.4;6 573
Хабаровский край;1 473;367;1 870;292;223;4 068;9 186;3 057;946;721;419;2 646;2 389;1 320;938;1 244;842;784;1 626;784;292;0;1.2;3 057
Амурская область;602;691;662;245;146;1 537;3 502;653;295;285;207;909;905;539;851;662;350;348;813;348;245;0;0.7;653
Магаданская область;258;485;158;46;23;300;698;403;86;99;71;195;257;91;209;177;105;110;314;110;46;0;0.8;403
Сахалинская область;1 331;152;778;100;92;1 797;2 891;1 051;401;249;169;1 004;881;579;510;516;313;419;969;419;100;0;0.5;1 051
Еврейская автономная область;178;35;146;49;30;180;437;111;56;59;36;184;126;68;175;173;93;103;226;103;49;0;0.8;111
Чукотский автономный округ;116;48;36;30;13;70;119;91;21;26;22;29;58;21;150;80;31;37;115;37;30;0;0.5;91
